Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1980,0.37,0.46,0.42,0.45,0.47,0.23,0.38,0.32,0.34,0.25,0.3,0.19
1981,0.63,0.58,0.67,0.51,0.34,0.39,0.52,0.54,0.29,0.12,0.23,0.49
1982,0.13,0.26,0,0.03,0.26,0.05,0.19,0.09,0.1,0.02,0.14,0.41
1983,0.5,0.41,0.48,0.4,0.49,0.28,0.22,0.47,0.56,0.35,0.33,0.18
1984,0.25,0.17,0.38,0.15,0.47,0.05,0.19,0.28,0.28,0.22,0.12,0.04
1985,0.32,0.03,0.27,0.21,0.22,0.28,0.03,0.36,0.26,0.14,0.09,0.15
1986,0.39,0.52,0.4,0.44,0.34,0.13,0.16,0.21,0.03,0.12,0.12,0.21
1987,0.44,0.54,0.25,0.38,0.3,0.56,0.59,0.27,0.36,0.35,0.3,0.57
1988,0.67,0.49,0.63,0.5,0.62,0.6,0.45,0.57,0.55,0.55,0.18,0.39
1989,0.26,0.46,0.45,0.43,0.19,0.16,0.49,0.53,0.54,0.44,0.23,0.4
1990,0.53,0.42,0.86,0.65,0.56,0.47,0.62,0.43,0.3,0.51,0.54,0.48
1991,0.5,0.63,0.48,0.73,0.43,0.7,0.63,0.57,0.63,0.36,0.33,0.34
1992,0.51,0.42,0.54,0.24,0.27,0.31,0.08,0.14,-0.02,0.09,0.03,0.25
1993,0.4,0.42,0.34,0.31,0.29,0.28,0.4,0.22,0.1,0.25,0.1,0.19
1994,0.41,0.09,0.28,0.54,0.28,0.59,0.42,0.27,0.41,0.42,0.52,0.44
1995,0.57,0.9,0.52,0.59,0.39,0.51,0.64,0.58,0.47,0.68,0.53,0.4
1996,0.41,0.61,0.45,0.51,0.35,0.33,0.59,0.77,0.43,0.34,0.51,0.54
1997,0.48,0.56,0.66,0.4,0.43,0.67,0.34,0.45,0.49,0.6,0.72,0.69
1998,0.72,1.2,0.83,0.82,0.93,1.03,0.92,0.86,0.59,0.68,0.66,0.78
1999,0.68,0.86,0.5,0.41,0.49,0.63,0.63,0.54,0.66,0.63,0.58,0.51
2000,0.31,0.78,0.7,0.75,0.57,0.69,0.64,0.62,0.57,0.36,0.48,0.49
2001,0.58,0.62,0.67,0.6,0.73,0.66,0.72,0.63,0.7,0.62,0.8,0.74
2002,0.97,0.9,1.13,0.8,0.86,0.65,0.84,0.69,0.83,0.64,0.71,0.55
2003,0.93,0.75,0.73,0.7,0.87,0.64,0.66,0.86,0.83,0.86,0.64,0.88
2004,0.74,0.94,0.84,0.77,0.49,0.67,0.24,0.59,0.58,0.82,0.88,0.65
